Country Name,Country Code,Time,Time Code,"Gross enrolment ratio, early childhood education, both sexes (%) [UIS.GER.0]","Gross enrolment ratio, pre-primary, adjusted gender parity index (GPIA) [UIS.GER.02.GPIA]","Enrolment in early childhood education, female (number) [UIS.E.0.F]","Enrolment in pre-primary education, both sexes (number) [SE.PRE.ENRL]","Gross enrolment ratio, pre-primary, both sexes (%) [SE.PRE.ENRR]","Enrolment in pre-primary education, female (number) [SE.PRE.ENRL.FE]","Enrolment in pre-primary education, male (number) [UIS.E.02.M]","Gross enrolment ratio, pre-primary, male (%) [SE.PRE.ENRR.MA]","Gross enrolment ratio, pre-primary, female (%) [SE.PRE.ENRR.FE]",Percentage of enrolment in pre-primary education in private institutions (%) [SE.PRE.PRIV.ZS],"Enrolment in early childhood education, both sexes (number) [UIS.E.0.T]","Enrolment in early childhood education, male (number) [UIS.E.0.M]","Gross enrolment ratio, early childhood education, male (%) [UIS.GER.0.M]","Gross enrolment ratio, early childhood education, female (%) [UIS.GER.0.F]","Gross enrolment ratio, early childhood educational development programmes, adjusted gender parity index (GPIA) [UIS.GER.01.GPIA]"
Argentina,ARG,1972,YR1972,..,1.03241,..,259509,26.51997,130188,129321,26.08872,26.96269,31.00817,..,..,..,..,..
Argentina,ARG,1973,YR1973,..,1.02809,..,288904,29.06558,144624,144280,28.65689,29.48508,31.63023,..,..,..,..,..
Argentina,ARG,1974,YR1974,..,1.03926,..,317793,31.40225,159983,157810,30.78168,32.0394,31.93431,..,..,..,..,..
Argentina,ARG,1975,YR1975,..,1.03888,..,369082,35.70194,185743,183339,35.00346,36.41927,30.14913,..,..,..,..,..
Argentina,ARG,1976,YR1976,..,1.04192,..,402702,37.91075,203015,199687,37.10951,38.73334,29.163,..,..,..,..,..
Argentina,ARG,1977,YR1977,..,1.03463,..,430916,39.39728,216510,214406,38.71186,40.10039,29.68351,..,..,..,..,..
Argentina,ARG,1978,YR1978,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,1979,YR1979,..,..,..,455745,39.18934,..,..,..,..,29.89961,..,..,..,..,..
Argentina,ARG,1980,YR1980,..,..,..,480216,40.08113,..,..,..,..,31.71802,..,..,..,..,..
Argentina,ARG,1981,YR1981,..,1.04302,..,526964,42.40367,265871,261093,41.4833,43.34813,31.94981,..,..,..,..,..
Argentina,ARG,1982,YR1982,..,1.03954,..,570353,44.24095,287100,283253,43.36032,45.14556,30.86176,..,..,..,..,..
Argentina,ARG,1983,YR1983,..,1.03906,..,602226,45.24946,302809,299417,44.36077,46.16392,31.68844,..,..,..,..,..
Argentina,ARG,1984,YR1984,..,1.03133,..,654645,48.17186,327586,327059,47.41655,48.95035,31.91531,..,..,..,..,..
Argentina,ARG,1985,YR1985,..,1.04174,..,693259,50.82999,348639,344620,49.76304,51.93057,31.18849,..,..,..,..,..
Argentina,ARG,1986,YR1986,..,1.03253,..,719928,53.03755,360504,359424,52.17361,53.92786,31.20354,..,..,..,..,..
Argentina,ARG,1987,YR1987,..,1.00914,..,766138,57.26319,379344,386794,57.00395,57.52997,30.88543,..,..,..,..,..
Argentina,ARG,1988,YR1988,..,1.04026,..,798235,60.677,401873,396362,59.44723,61.94078,29.77519,..,..,..,..,..
Argentina,ARG,1989,YR1989,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,1990,YR1990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,1991,YR1991,..,..,..,982483,48.56701,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,1993,YR1993,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,1994,YR1994,..,..,..,1009610,47.71864,..,..,..,..,31.47711,..,..,..,..,..
Argentina,ARG,1995,YR1995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,1996,YR1996,..,1.04609,..,1116951,52.24382,562719,554232,51.03078,53.4963,29.44086,..,..,..,..,..
Argentina,ARG,1997,YR1997,..,1.02746,..,1145919,53.40724,571665,574254,52.67564,54.1629,28.67166,..,..,..,..,..
Argentina,ARG,1998,YR1998,..,1.02271,..,1178249,54.83638,586247,592002,54.21676,55.47662,28.82846,..,..,..,..,..
Argentina,ARG,1999,YR1999,28.70683,1.02357,604832,1191336,55.53286,593012,598324,54.88128,56.20615,28.13807,1215646,610814,28.35905,29.06682,0.9813
Argentina,ARG,2000,YR2000,30.52877,1.01751,639018,1256491,58.7352,623350,633141,58.22506,59.26259,28.18253,1289149,650131,30.26499,30.8019,0.95642
Argentina,ARG,2001,YR2001,30.97496,1.0162,643976,1265771,59.57181,627360,638411,59.09358,60.06647,28.21798,1300258,656282,30.72943,31.22926,0.96421
Argentina,ARG,2002,YR2002,31.10813,1.01589,646463,1268657,60.24095,628440,640217,59.76678,60.73181,27.65342,1306025,659562,30.87588,31.34871,0.96575
Argentina,ARG,2003,YR2003,31.00411,1.01122,645233,1266292,60.61656,625498,640794,60.28069,60.96454,28.03287,1307176,661943,30.85268,31.16101,0.96694
Argentina,ARG,2004,YR2004,31.8813,1.01326,667153,1302835,62.30033,644074,658761,61.89193,62.72365,29.20869,1350986,683833,31.70682,32.06215,0.95404
Argentina,ARG,2005,YR2005,32.66267,1.01795,687765,1335169,63.74701,661501,673668,63.18005,64.33495,30.24651,1389572,701807,32.40625,32.92854,0.96764
Argentina,ARG,2006,YR2006,32.67655,1.01493,692736,1342505,63.67605,664119,678386,63.20575,64.16373,30.6565,1401616,708880,32.46735,32.89343,0.97271
Argentina,ARG,2007,YR2007,33.73445,1.01799,718915,1374995,64.63763,681321,693674,64.06151,65.23495,30.92557,1452326,733411,33.46664,34.01211,0.98089
Argentina,ARG,2008,YR2008,35.13415,1.02019,750099,1429412,66.605,709155,720257,65.93786,67.29656,31.75585,1513537,763438,34.81191,35.46831,0.98362
Argentina,ARG,2009,YR2009,36.07183,1.0182,769263,1462363,68.05104,724722,737641,67.43721,68.68739,32.39264,1554897,785634,35.79834,36.35549,0.96302
Argentina,ARG,2010,YR2010,36.59184,1.01502,781251,1484207,68.89225,734308,749899,68.38039,69.42294,32.14114,1581370,800119,36.36164,36.83063,0.97019
Argentina,ARG,2011,YR2011,36.68696,1.01577,785437,1487105,68.87405,735949,751156,68.33667,69.43131,31.97528,1589458,804021,36.44286,36.94024,0.97192
Argentina,ARG,2012,YR2012,37.57268,1.018,809470,1527075,70.58965,756510,770565,69.96003,71.24271,31.97669,1636479,827009,37.28469,37.87155,0.97415
