Country Name,Country Code,Year,Year Code,Age dependency ratio (% of working-age population) [SP.POP.DPND],"Age dependency ratio, old [SP.POP.DPND.OL]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Age dependency ratio, young [SP.POP.DPND.YG]",Rural population [SP.RUR.TOTL],"Population, male (% of total population) [SP.POP.TOTL.MA.ZS]",Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Net migration [SM.POP.NETM],"Population, male [SP.POP.TOTL.MA.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, total [SP.POP.TOTL]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Urban population [SP.URB.TOTL],Population growth (annual %) [SP.POP.GROW]
Argentina,ARG,1972,YR1972,57.2698974794625,10.6694905155164,50.459435852752,46.6004069639461,4985814,49.540564147248,1.042,79.743,36601,12193317,12419477,24612794,20.257,19626980,1.59481478504434
Argentina,ARG,1973,YR1973,57.5945067700744,10.8635616995393,50.5149199531202,46.7309450705351,4964585,49.4850760501712,1.045,80.158,39199,12381457,12639130,25020588,19.842,20056003,1.64326169179334
Argentina,ARG,1974,YR1974,58.07665245433,11.0657649977999,50.5688109991161,47.0108874565301,4945651,49.4311929301949,1.047,80.567,43652,12580117,12869638,25449754,19.433,20504103,1.70070709763708
Argentina,ARG,1975,YR1975,58.6618293072217,11.2852759724273,50.612945235809,47.3765533347943,4924377,49.387054764191,1.049,80.969,-5357,12779176,13096382,25875558,19.031,20951181,1.65927396323707
Argentina,ARG,1976,YR1976,59.3300723814474,11.5207667355999,50.6467243739763,47.8093056458474,4898926,49.3532756260237,1.051,81.366,-10308,12975103,13315154,26290257,18.634,21391331,1.58995977036791
Argentina,ARG,1977,YR1977,60.0514153079649,11.7690763907599,50.6779684492423,48.282338917205,4873929,49.3220352941441,1.053,81.755,-14695,13175780,13538001,26713780,18.245,21839851,1.59811228647283
Argentina,ARG,1978,YR1978,60.7862416011979,12.0267529686034,50.7033988391933,48.7594886325945,4848569,49.2965974770392,1.055,82.139,-14673,13382114,13764006,27146121,17.861,22297552,1.60546261056525
Argentina,ARG,1979,YR1979,61.5142862211902,12.2735676992682,50.7240285303138,49.240718521922,4822810,49.2759714696862,1.051,82.516,-10236,13592350,13991784,27584134,17.484,22761324,1.60065891136555
Argentina,ARG,1980,YR1980,62.2017961956712,12.4993611721997,50.7434432277722,49.7024350234715,4795885,49.2565532039601,1.048,82.887,-3466,13804052,14220750,28024803,17.113,23228918,1.5849187137401
Argentina,ARG,1981,YR1981,62.8120029404339,12.7054250776925,50.7638274844286,50.1065778627414,4751003,49.2361725155714,1.046,83.313,10366,14018171,14453114,28471285,16.687,23720282,1.58060960059338
Argentina,ARG,1982,YR1982,63.320812702074,12.8871023945728,50.7853053591493,50.4337103075011,4697346,49.2146911833662,1.044,83.759,19326,14234248,14688513,28922762,16.241,24225416,1.57328620697584
Argentina,ARG,1983,YR1983,63.7379429367282,13.0491677478623,50.8030649821322,50.688775188866,4643350,49.1969350178678,1.047,84.194,29062,14452651,14924486,29377137,15.806,24733787,1.55878211832102
Argentina,ARG,1984,YR1984,64.0687020503558,13.2012506141124,50.8166897664292,50.8674514362434,4587894,49.1833102335708,1.049,84.621,30810,14672462,15159735,29832197,15.379,25244303,1.53715277473885
Argentina,ARG,1985,YR1985,64.3070720568504,13.353677381786,50.8229540010286,50.9533946750644,4531558,49.1770459989714,1.051,85.038,31967,14894307,15392805,30287112,14.962,25755554,1.51340289933673
Argentina,ARG,1986,YR1986,64.4544916009722,13.5192481597744,50.8208089116786,50.9352434411978,4475419,49.1791943405309,1.053,85.445,32496,15121779,15626548,30748326,14.555,26272907,1.51132782511058
Argentina,ARG,1987,YR1987,64.5169416630526,13.6976179698632,50.815276802909,50.8193236931894,4419313,49.1847264005299,1.053,85.843,32345,15353727,15862727,31216453,14.157,26797140,1.51097418180074
Argentina,ARG,1988,YR1988,64.4918214727521,13.887320052962,50.8063635645332,50.60450141979,4362871,49.1936395909575,1.054,86.233,30243,15589854,16100939,31690792,13.767,27327921,1.50808699373212
Argentina,ARG,1989,YR1989,64.374830691313,14.0844999886808,50.7953673480059,50.2903307026321,4306031,49.2046326519941,1.054,86.613,20445,15827047,16338719,32165766,13.387,27859735,1.48765537832153
Argentina,ARG,1990,YR1990,64.2132713974083,14.2859601057883,50.7822635675104,49.92731129162,4248117,49.2177333685442,1.054,86.984,6021,16063515,16574141,32637657,13.016,28389540,1.45640251463185
Argentina,ARG,1991,YR1991,64.0373708207606,14.5012085616367,50.7693902116076,49.5361622591238,4195162,49.2306067677703,1.054,87.328,-8569,16298168,16807594,33105763,12.672,28910601,1.42406315580335
Argentina,ARG,1992,YR1992,63.8194046946686,14.7178441143347,50.759450475352,49.1015605803339,4181937,49.2405525036504,1.054,87.542,-13201,16529209,17039077,33568285,12.458,29386348,1.38743464174592
Argentina,ARG,1993,YR1993,63.5588524841452,14.9138645948749,50.7519622514197,48.6449878892703,4167656,49.2480377485803,1.054,87.752,-16383,16757748,17269492,34027240,12.248,29859584,1.35796579095645
Argentina,ARG,1994,YR1994,63.2802602697772,15.0948109993798,50.7387377011877,48.1854492703975,4152439,49.2612622988123,1.055,87.96,-18725,16989567,17499129,34488696,12.04,30336257,1.34702378575008
Argentina,ARG,1995,YR1995,62.9748102437922,15.2533840857786,50.7223894161611,47.7214261580136,4136222,49.2776077222901,1.055,88.164,-19736,17220607,17725502,34946110,11.836,30809888,1.31755424518083
Argentina,ARG,1996,YR1996,62.6268491612687,15.3828334455061,50.7107305296999,47.2440157157627,4117198,49.2892694703001,1.054,88.366,-20396,17443158,17946204,35389362,11.634,31272164,1.26041058779251
Argentina,ARG,1997,YR1997,62.2400368111599,15.480292231615,50.7039275858248,46.7597445795449,4095914,49.2960724141752,1.054,88.564,-20588,17655867,18160104,35815971,11.436,31720057,1.19826447409119
Argentina,ARG,1998,YR1998,61.8400985730562,15.5562413313973,50.6995311895625,46.2838572416589,4072973,49.3004688104375,1.055,88.759,-20331,17863135,18370060,36233195,11.241,32160222,1.15817763601349
Argentina,ARG,1999,YR1999,61.4607949663286,15.6278173459838,50.6930190848337,45.8329776203449,4049427,49.3069809151663,1.055,88.952,-20220,18072503,18580528,36653031,11.048,32603604,1.15204385364535
Argentina,ARG,2000,YR2000,61.0879724896863,15.6930390460489,50.6869049996097,45.3949334436374,4025145,49.3130950003903,1.055,89.142,-22770,18280746,18790028,37070774,10.858,33045629,1.13327702210541
Argentina,ARG,2001,YR2001,60.685565292786,15.7522514975543,50.6833488022689,44.9333137952317,3999543,49.316651197731,1.054,89.329,-22787,18484124,18996369,37480493,10.671,33480950,1.0991714603689
Argentina,ARG,2002,YR2002,60.254560271933,15.8114088046499,50.6832065690964,44.443151467283,3974139,49.3167934309036,1.054,89.51,-22668,18683681,19201347,37885028,10.49,33910889,1.07353834961783
Argentina,ARG,2003,YR2003,59.7829352406019,15.8518786227603,50.6776187071041,43.9310566178416,3948010,49.3223786804404,1.055,89.686,-22353,18879701,19398462,38278164,10.314,34330154,1.03236085902218
Argentina,ARG,2004,YR2004,59.3017988892854,15.895176894151,50.6656478262214,43.4066219951345,3921016,49.3343547598431,1.056,89.86,-22336,19077001,19591796,38668796,10.14,34747780,1.01533668354561
Argentina,ARG,2005,YR2005,58.8384581557095,15.9676176971988,50.6554932582001,42.8708404585108,3894938,49.3445041823242,1.059,90.031,-21961,19279145,19791355,39070501,9.96899999999999,35175563,1.03347622351885
Argentina,ARG,2006,YR2006,58.3750284439848,16.0532875790374,50.644229449811,42.3217408649475,3868731,49.355770550189,1.062,90.2,-19958,19484104,19992747,39476851,9.8,35608120,1.03467173566483
Argentina,ARG,2007,YR2007,57.9051365634472,16.1336973953447,50.6336513106807,41.7714391681025,3841665,49.3663511970864,1.063,90.366,-18051,19685381,20190731,39876111,9.634,36034446,1.00629733064648
Argentina,ARG,2008,YR2008,57.433559542917,16.2218356832858,50.6228210227853,41.2117238596312,3813926,49.3771789772147,1.062,90.53,-12450,19886051,20387718,40273769,9.47,36459843,0.992294094354656
Argentina,ARG,2009,YR2009,56.9963714860468,16.3403602427859,50.6066535972639,40.6560112432609,3787305,49.3933488606844,1.061,90.691,-7869,20095357,20588982,40684338,9.309,36897033,1.01428389337816
Argentina,ARG,2010,YR2010,56.6256126111939,16.4672062333752,50.5877634478126,40.1584063778187,3732551,49.4122341191047,1.061,90.849,-4970,20154486,20633966,40788453,9.151,37055902,0.255582398485167
Argentina,ARG,2011,YR2011,56.3546668780625,16.6106018126179,50.5695924494602,39.7440650654445,3717660,49.4304075505398,1.062,90.99,-1011,20395723,20865767,41261490,9.01000000000001,37543830,1.15305928006386
Argentina,ARG,2012,YR2012,56.1922783212828,16.7881375330456,50.5567874421383,39.4041407882372,3705497,49.4432101742059,1.062,91.121,3127,20634269,21099001,41733271,8.879,38027774,1.13690569378967
Argentina,ARG,2013,YR2013,56.0868723571096,16.9753865156087,50.54740970904,39.1114858415009,3693179,49.45259029096,1.06,91.249,5369,20870445,21332490,42202935,8.751,38509756,1.11910919999772
Argentina,ARG,2014,YR2014,55.9732762411572,17.1500457105384,50.5348816345132,38.8232305306188,3679391,49.4651183654868,1.059,91.377,5801,21106519,21562981,42669500,8.623,38990109,1.09946109101836
Argentina,ARG,2015,YR2015,55.8644592427226,17.320406917436,50.5229492569595,38.5440523252866,3664923,49.4770530548016,1.057,91.503,5522,21340426,21791541,43131966,8.497,39467043,1.07800134449604
