Country Name,Country Code,Time,Time Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Arable land (% of land area) [AG.LND.ARBL.ZS],Average supply of protein of animal origin (g/cap/day) [CC.PRO.ANI],Electricity net consumption [CC.ELEC.CON],Energy intensity of the economy (kWh per 2011$PPP) [CC.EG.INTS.KW],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GHG growth (annual %) [CC.GHG.GRPE],Government Effectiveness: Estimate [GE.EST],"Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS],Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],"Population, total [SP.POP.TOTL]",Rule of Law: Estimate [RL.EST],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
Argentina,ARG,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..,43.0634952284865,..,..,..,..,46210000,..,..,..,10.5799999237061,92.347
Argentina,ARG,2021,YR2021,..,..,..,..,..,..,491492700657.012,10.2637609278887,10729.2325777217,..,-0.356661766767502,42.9584976051152,..,..,..,-0.106366641819477,45808747,-0.462304174900055,..,..,10.9020004272461,92.229
Argentina,ARG,2023,YR2023,..,..,..,..,..,..,..,..,..,..,..,43.0468951246608,..,..,..,..,46607000,..,..,..,10.4289999008179,92.463
Argentina,ARG,2024,YR2024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47000000,..,..,..,..,92.579
Argentina,ARG,2025,YR2025,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47387000,..,..,..,..,92.693
Argentina,ARG,2020,YR2020,100,39.6032286082823,11.9241710606609,..,121.56394,..,389591035520.675,-9.89526896368687,8585.69474249794,..,-0.224287480115891,43.2160045879469,..,..,..,-0.0792135149240494,45376763,-0.473045349121094,10.758498148152,1.8285686630972,11.460000038147,92.111
Argentina,ARG,2019,YR2019,100,39.6032286082823,11.9241710606609,..,122.08889,..,452818426182.658,-2.0259342366392,10076.3552409481,..,-0.0965068936347961,43.2075841949894,..,..,..,-0.0914442017674446,44938712,-0.408074647188187,10.4759215719336,2.19160282132649,9.84000015258789,91.991
Argentina,ARG,2018,YR2018,99.9895782470703,39.6032286082823,11.9241710606609,67.3,125.09309,..,524819742918.669,-2.61739646282038,11795.1593866287,-0.55,0.054248072206974,42.9825095568517,..,..,..,0.0108913751319051,44494502,-0.20049113035202,9.99239008384335,2.1012769363927,9.22000026702881,91.87
Argentina,ARG,2017,YR2017,100,40.647424443397,12.4182497834976,67,125.48834,..,643628665302.155,2.81850297775918,14613.041824658,0.36,0.164413183927536,42.2767696487623,..,..,..,0.169504255056381,44044811,-0.219416528940201,10.939623860491,1.12360659021161,8.35000038146973,91.749
Argentina,ARG,2016,YR2016,99.8495788574219,41.7160511420731,12.9121310780541,66,128.16484,1.211,557531376217.967,-2.08032784377811,12790.2424732447,-7.49,0.250169098377228,42.0696156413272,99.0238575,95.41770247,..,0.204625502228737,43590368,-0.304281622171402,12.0972836411962,0.936269075921548,8.11100006103516,91.627
Argentina,ARG,2015,YR2015,99.6253890991211,42.7846778407492,13.4060123726107,66,128.65242,1.186,594749285413.212,2.73115982828944,13789.060424772,1.57,-0.0165390782058239,41.8668221891244,98.96658815,94.9480284,..,0.014785380102694,43131966,-0.731063604354858,12.3365069418291,1.08743567210003,7.52099990844727,91.503
Argentina,ARG,2014,YR2014,100,43.8533045394254,13.8998936671673,65.3,123.42653,1.191,526319673731.638,-2.51261532081394,12334.7982453893,-0.69,-0.109243862330914,41.6677800556245,98.90931952,94.48011382,..,-0.00512187136337161,42669500,-0.866434514522552,12.6109666067191,2.74526885141793,7.26999998092651,91.377
Argentina,ARG,2013,YR2013,99.3426742553711,44.9219312381015,14.3937749617238,65.7,117.67703,1.156,552025140252.246,2.40532378079436,13080.2547323367,2.38,-0.253652781248093,41.5208343258382,98.85206691,94.01399452,..,0.0653142631053925,42202935,-0.656233191490173,12.4529027558077,3.01544202009906,7.09999990463257,91.249
Argentina,ARG,2012,YR2012,99.22998046875,45.5813044224958,14.4784027419985,64.7,117.71058,1.121,545982375701.128,-1.0264204544321,13082.664325572,1.02,-0.206465601921082,41.6163741918177,98.79495003,93.55005363,..,0.103040546178818,41733271,-0.623034238815308,12.9528415127413,3.41336111841849,7.21999979019165,91.121
Argentina,ARG,2011,YR2011,99.0953521728516,45.7919603608739,14.1143132762571,63.7,113.58529,1.093,530163281574.658,6.00395169280579,12848.8641969705,-4.46,-0.0714864432811737,41.351120858553,98.61329285,93.02688168,..,0.158993661403656,41261490,-0.563123285770416,12.6636277012315,3.71554751491933,7.17999982833862,90.99
Argentina,ARG,2010,YR2010,98.8199996948242,46.1389123357048,13.8865198469684,63,111.17157,1.161,423627422092.49,10.1253981561002,10385.9644319555,1.35,-0.111378528177738,41.4637191328645,98.42725533,92.50233092,..,-0.0847978666424751,40788453,-0.59809422492981,12.8530426903255,3.3233580463399,7.71000003814697,90.849
Argentina,ARG,2009,YR2009,97.7506561279297,45.4302094866426,12.6030715937867,63,104.3041,1.231,332976484577.619,-5.91852507634947,8225.13758261645,-4.27,-0.295640558004379,42.0154800104474,98.23571573,91.97501431,..,-0.234854578971863,40482786,-0.694468080997467,12.3830415594157,3.03424095605109,8.64999961853027,90.691
Argentina,ARG,2008,YR2008,97.5167541503906,46.4235627710848,13.0216794741092,62.7,103.7001,1.172,361558037110.419,4.05723310346406,9020.87332314274,0.95,-0.124616414308548,41.6570117407159,98.03963014,91.44751476,..,-0.0877556875348091,40080159,-0.699731647968292,13.3178463574032,5.00758015026195,7.84000015258789,90.53
Argentina,ARG,2007,YR2007,97.2927932739258,47.4910932549905,13.5144645538954,61.7,100.1531,1.231,287530508430.568,9.00765087504757,7245.44685667197,3.15,-0.0116778211668134,41.9237772957336,97.83887029,90.91980455,..,0.0977966338396072,39684303,-0.60147225856781,12.4482684483004,4.96376290598617,8.47000026702881,90.366
Argentina,ARG,2006,YR2006,97.076057434082,47.5533947944415,13.0020206892268,59,99.04709,1.296,232557260817.308,8.04715150043027,5919.01233837714,3.53,-0.0361093543469906,42.1866228116984,97.63347995,90.3920797,..,0.00196776282973588,39289876,-0.57701563835144,12.8788866954319,6.11775266236952,10.0799999237061,90.2
Argentina,ARG,2005,YR2005,96.8638458251953,47.4737365211259,12.3476170117916,57,88.60108,1.333,198737095012.282,8.85165992013437,5109.85224490403,1.1,-0.100426144897938,41.8648397437924,97.42319597,89.86410386,..,-0.0417749434709549,38892924,-0.557991087436676,13.1031756459852,5.75121620027831,11.5100002288818,90.031
