"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0643933560435","32.6428707376993","32.2679936739954","31.0352017834494","29.6833670127598","28.5035112785995","28.0573791199456","27.4878580806953","25.7297057710846","23.9532905698366","22.2924321233599","21.7180622248758","21.4042727579889","21.4441615610215","21.9518481417626","22.4664366753986","23.0749593317083","23.6542422358629","25.128371989046","26.5420142899351","","",
"Afganistán","AFG","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.8","45.6","40.6","38","36.1","33.3","29.8","26.5","23.3","21.2","20.2","21.1","20.7","20.7","21.5","22.2","23","24","26.9","29.8","","",
"","AFW","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.1544599101004","15.7064972531393","15.1757007536242","14.4718030106659","13.6576103088056","13.0364869691625","12.469852834022","12.162205493254","11.5821371549156","11.163512462032","10.7484990754254","10.796828811136","10.839914319454","11.004309026257","11.0317339926271","11.0755623756176","11.3320860660929","11.5280749102045","12.4827779751865","13.2193544648232","","",
"Angola","AGO","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5","63.2","58.7","55.1","52.2","49.3","46.1","42.9","33.1","23.9","16.4","15.1","14.3","13.7","14.5","15.4","15.4","15.7","17.9","20.8","","",
"Albania","ALB","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","6.1","7.5","8.6","8.9","8.8","8.3","7.3","6.3","5.8","5.4","5.1","5","5","4.9","4.7","4.7","4.6","4.3","3.9","","",
"Andorra","AND","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9023051903772","12.7411585594719","12.792429867992","12.8667683735776","12.6070489965279","12.2382064380042","11.9406824110947","11.8063426126892","11.3188792434279","11.2322787073367","10.9424046395479","10.9787192453582","10.6847725050672","10.8987840335801","11.4232537592174","11.8893965277526","12.045417046842","11.8479820766114","11.8268959841101","11.9141807311861","","",
"Emiratos Árabes Unidos","ARE","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","3.8","5.1","6.9","8","8.3","8.1","7.4","8","8.4","8.8","7.9","7.1","6.6","6.5","6.3","6.4","6.2","6","5.6","","",
"Argentina","ARG","Prevalencia de desnutrición (% de la población)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.8","4.5","4","3.7","3.4","3.3","3.3","3.2","3.1","2.9","2.8","2.6","2.5","2.5","2.6","3.1","3.4","3.5","3.7","","",
