"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.392597865215","101.310751647491","100.298146706408","99.2375812589393","99.4204889434008","96.5279817016521","94.9819285880864","93.2885833521348","91.0215245291686","88.5113984236657","85.8317260053599","82.806809221729","79.7072203737629","76.5476815440111","73.4165211312264","70.4479641100307","67.744195423772","65.0683585331247","62.4970098792431","60.1938706917886","58.0745440797395","56.0362046589754","54.1233174030825","52.4216312698536","50.8582978108916","49.4161644470988","48.0477645781883","46.6386273059222","45.2682840095409","44.0813495409081","43.0277779369743","42.0042107259112","",
"Afganistán","AFG"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","228.9","225.1","221.2","217.4","213.5","209.6","205.7","202","198.2","194.3","190.5","186.7","182.9","179","175","171","166.9","162.6","158.3","153.9","149.6","145.5","141.4","137.3","133.1","129","124.9","120.9","117.1","113.5","110.2","106.9","103.9","101","98.3","95.6","93.1","90.6","88","85.4","82.8","80.1","77.4","74.7","72","69.3","66.8","64.2","61.8","59.4","57.2","55","53","51.1","49.4","47.8","46.3","44.8","43.4","",
"","AFW"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.56030633882","112.692942275096","111.972466289002","111.225102033267","110.340614688078","109.153886577117","107.741007688999","105.930418113991","103.887137756442","101.569023928574","99.1400441932479","96.5368665220675","93.939098788752","91.2773155570768","88.6262404660319","85.9724349396834","83.5620140213476","81.2513430202826","79.1677942423565","77.269249103378","75.4650333090984","73.9709254083678","72.4821603867633","71.1528457073569","69.9885500411556","68.7609670484987","67.5719814058478","66.3739731163693","64.9452545155498","63.5560114130944","62.1651774891826","60.749633218817","",
"Angola","AGO"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","141.2","139.5","138","136.4","135","133.9","133.2","132.8","132.3","132.2","132","132","132.1","132.1","131.9","131.4","130.6","129.1","127.1","124.8","121.9","118.5","114.7","110.5","105.9","101","95.9","90.6","85.4","80.4","75.7","71.4","67.2","63.5","60.5","57.9","55.7","53.8","52","50.4","48.7","47.2","",
"Albania","ALB"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","76.7","71.2","66","61.2","57","53.1","49.5","46.3","43.5","41","38.8","36.9","35.4","34","32.8","31.7","30.6","29.6","28.6","27.5","26.4","25.2","24.1","22.9","21.7","20.4","19.1","17.8","16.5","15.3","14.1","12.9","11.9","10.9","10","9.3","8.8","8.5","8.4","8.3","8.3","8.4","8.4","8.4","",
"Andorra","AND"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","10.2","10","9.8","9.6","9.3","9.1","8.9","8.7","8.4","8.1","7.9","7.6","7.3","7","6.8","6.5","6.3","6","5.8","5.6","5.4","5.1","4.9","4.6","4.4","4.2","4","3.9","3.7","3.5","3.3","3.2","3","2.9","2.8","2.7","2.6","",
"El mundo árabe","ARB"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9029283792476","57.3173618182711","55.5298136306546","53.9196976145339","52.4457560345159","51.0384082817608","49.5471197606844","48.1105648085354","46.6759621937694","45.3406309357309","43.9188520680849","42.5132214760961","41.222799855182","39.9709057215284","38.7815591298559","37.6166519166754","36.5154697501652","35.2019935424351","34.0627970071646","32.9948127580067","31.9514978892689","31.0978155298634","30.6451436402351","30.0887004260385","29.4747280135053","28.8971663812944","28.5015794131185","27.779480891116","27.3684651653744","26.8987596997685","26.3161463290207","25.9793719398798","",
"Emiratos Árabes Unidos","ARE"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","135.5","128.9","122.5","116.2","109.9","103.3","96.6","89.8","83.1","76.7","70.6","64.9","59.5","54.6","50.3","46","42.1","38.4","35","31.9","29","26.5","24.3","22.4","20.8","19.3","18.1","16.9","15.9","15","14.2","13.5","12.8","12.3","11.7","11.3","10.9","10.5","10.2","9.9","9.6","9.3","9.1","8.9","8.6","8.4","8.2","8.1","7.9","7.6","7.4","7.2","7","6.8","6.7","6.5","6.3","6.2","6","5.8","5.6","5.4","",
"Argentina","ARG"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","59.5","59","58.3","57.5","56.4","54.9","52.8","50.2","47","43.6","40.1","37","34.2","31.8","29.8","28.2","27","26.1","25.7","25.6","25.6","25.4","25.1","24.4","23.5","22.6","21.6","20.7","19.8","19","18.2","17.6","17","16.4","15.8","15.3","14.8","14.4","14.1","13.7","13.4","12.9","12.4","11.9","11.4","10.9","10.3","9.8","9.1","8.4","7.6","6.8","6.1","",
"Armenia","ARM"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","70","67.5","65","62.6","60.4","58.2","56.1","54.1","52.2","50.4","48.6","46.8","58.6","43.5","41.8","40.2","38.6","37","35.4","33.9","32.4","31","29.6","28.3","27","25.8","24.6","23.4","22.3","21.2","20.2","19.2","18.3","17.4","16.6","15.7","15","14.2","13.5","12.9","12.2","11.6","11.1","10.5","10","9.5","",
"Samoa Americana","ASM"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","62.9","58.8","54.3","49.6","44.9","40.4","36.1","32.3","29","26.2","23.8","21.9","20.3","19","17.9","16.8","15.9","15","14.1","13.3","12.6","12","11.5","11.2","10.9","10.7","10.7","10.7","10.8","10.9","11.1","11.4","11.7","12","12.4","12.6","12.8","12.9","12.9","12.8","12.6","12.3","11.9","11.5","11.1","10.6","10.1","9.7","9.2","8.8","8.3","7.9","7.5","7.1","6.8","6.5","6.2","6","5.7","5.5","5.3","5.2","",
"Australia","AUS"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","20.3","19.9","19.5","19.1","18.7","18.5","18.3","18.2","18.1","18","17.8","17.4","16.9","16.1","15.3","14.4","13.5","12.6","11.9","11.3","10.8","10.4","10.1","9.8","9.6","9.3","9.1","8.8","8.4","8","7.6","7.1","6.7","6.3","6","5.8","5.6","5.4","5.3","5.2","5.1","5","5","4.9","4.8","4.8","4.7","4.5","4.4","4.2","4","3.8","3.6","3.5","3.3","3.3","3.2","3.2","3.2","3.2","3.2","3.2","",
"Austria","AUT"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","37.3","34.9","32.9","31.1","29.6","28.3","27.2","26.3","25.7","25.2","25","24.7","24.1","23.1","21.6","19.8","18","16.6","15.5","14.6","13.9","13.2","12.6","11.9","11.3","10.7","10.1","9.4","8.9","8.4","8","7.6","7.2","6.7","6.2","5.7","5.3","5","4.8","4.7","4.6","4.5","4.4","4.3","4.2","4.1","3.9","3.8","3.8","3.7","3.6","3.5","3.3","3.2","3.1","3","3","2.9","2.9","2.9","3","3","",
"Azerbaiyán","AZE"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","86.1","84.2","82.4","80.7","79.3","78","76.9","76.2","75.9","76.1","76.3","76.4","76.1","75.2","73.6","71.3","68.3","64.8","61.1","57.3","53.6","50.2","47.1","44.2","41.6","39.2","36.8","34.6","32.5","30.5","28.5","26.7","25","23.3","21.8","20.4","19.2","18.2","17.4","16.6","",
"Burundi","BDI"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","","","","","142.6","143.8","144.9","145.8","146.9","147.7","148.1","148.4","163.6","148.6","148.5","148.2","147.3","145.5","142.2","137.7","132.4","126.6","120.6","114.8","109.8","106.1","103.6","102.4","102.1","102.5","103.2","103.9","104.5","109.5","104.7","104.2","103.2","101.8","99.7","97.3","94.7","91.9","88.9","85.7","82.2","78.3","74.3","70.3","66.4","62.8","59.4","56.3","53.5","50.8","48.4","46.3","44.5","42.9","41.3","40","38.8","37.6","",
"Bélgica","BEL"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","29.4","28.1","27","26","25","24","23.2","22.5","21.9","21.3","20.6","19.7","18.7","17.7","16.7","15.7","14.9","14.1","13.4","12.8","12.3","11.7","11.2","10.6","10.2","9.8","9.5","9.2","8.9","8.6","8.4","8.1","7.7","7.3","6.8","6.3","5.9","5.5","5.2","5","4.8","4.7","4.5","4.4","4.3","4.2","4","3.9","3.8","3.8","3.7","3.6","3.5","3.4","3.4","3.4","3.3","3.4","3.4","3.4","3.4","3.4","",
"Benin","BEN"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","183.9","180.9","177.8","174.7","171.5","168.3","165.2","162.2","159.4","156.6","153.8","151","148.3","145.4","142.5","139.4","136.5","133.5","130.7","128.2","125.8","123.5","121.3","119.2","117.1","115","112.9","110.8","108.6","106.5","104.4","102.2","100.1","98","96","94","92.2","90.3","88.6","86.8","85","83.3","81.5","79.8","78.2","76.6","75.1","73.7","72.3","70.9","69.6","68.4","67.1","65.8","64.6","63.3","62","60.8","59.5","58","56.6","55.2","",
"Burkina Faso","BFA"," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","SP.DYN.IMRT.IN","156.8","155.3","153.7","152.3","151","149.9","148.7","147.6","146.7","145.7","144.6","143.2","141.4","138.9","135.8","132.2","128.2","124.2","120.6","117.4","114.7","112.3","110.3","108.4","106.6","104.9","103.1","101.5","100.3","99.3","98.7","98.5","98.3","98.1","97.7","97.1","96.1","94.9","93.6","92.3","90.8","89.2","87.5","85.4","83.1","80.6","78","75.3","72.8","70.5","68.3","66.4","64.6","62.9","61.2","59.7","58.3","56.9","55.6","54.2","53","51.8","",
