"Countries, territories and areas",Year,valor
Argentina,1974,23803
Argentina,1975,23108
Argentina,1976,39291
Argentina,1977,36538
Argentina,1978,9551
Argentina,1979,9985
Argentina,1980,16102
Argentina,1981,17582
Argentina,1982,4432
Argentina,1983,7106
Argentina,1984,31751
Argentina,1985,9240
Argentina,1986,6448
Argentina,1987,8024
Argentina,1988,4751
Argentina,1989,4009
Argentina,1990,1967
Argentina,1991,42093
Argentina,1992,20551
Argentina,1993,5087
Argentina,1994,134
Argentina,1995,655
Argentina,1996,59
Argentina,1997,125
Argentina,1998,10229
Argentina,1999,313
Argentina,2000,6
Argentina,2001,0
Argentina,2002,0
Argentina,2003,0
Argentina,2004,0
Argentina,2005,0
Argentina,2006,0
Argentina,2007,0
Argentina,2008,0
Argentina,2009,3
Argentina,2010,17
Argentina,2011,3
Argentina,2012,2
Argentina,2013,0
Argentina,2014,1
Argentina,2015,0
Argentina,2016,0
Argentina,2017,3
Argentina,2018,14
Argentina,2019,130
Argentina,2020,69
Argentina,2021,0
Australia,1974,
Australia,1975,
Australia,1976,
Australia,1977,
Australia,1978,
Australia,1979,
Australia,1980,
Australia,1981,
Australia,1982,
Australia,1983,
Australia,1984,
Australia,1985,
Australia,1986,
Australia,1987,
Australia,1988,248
Australia,1989,169
Australia,1990,880
Australia,1991,1380
Australia,1992,1425
Australia,1993,4536
Australia,1994,4895
Australia,1995,1198
Australia,1996,498
Australia,1997,853
Australia,1998,327
Australia,1999,235
Australia,2000,108
Australia,2001,141
Australia,2002,32
Australia,2003,91
Australia,2004,70
Australia,2005,10
Australia,2006,
Australia,2007,11
Australia,2008,65
Australia,2009,104
Australia,2010,70
Australia,2011,190
Australia,2012,199
Australia,2013,158
Australia,2014,340
Australia,2015,74
Australia,2016,99
Australia,2017,81
Australia,2018,103
Australia,2019,286
Australia,2020,25
Australia,2021,0
Bahamas,1974,432
Bahamas,1975,14
Bahamas,1976,933
Bahamas,1977,1831
Bahamas,1978,222
Bahamas,1979,1659
Bahamas,1980,484
Bahamas,1981,45
Bahamas,1982,50
Bahamas,1983,2868
Bahamas,1984,36
Bahamas,1985,26
Bahamas,1986,85
Bahamas,1987,42
Bahamas,1988,22
Bahamas,1989,59
Bahamas,1990,72
Bahamas,1991,0
Bahamas,1992,0
Bahamas,1993,0
Bahamas,1994,0
Bahamas,1995,0
Bahamas,1996,0
Bahamas,1997,1
Bahamas,1998,0
Bahamas,1999,0
Bahamas,2000,0
Bahamas,2001,0
Bahamas,2002,0
Bahamas,2003,0
Bahamas,2004,0
Bahamas,2005,0
Bahamas,2006,0
Bahamas,2007,0
Bahamas,2008,0
Bahamas,2009,0
Bahamas,2010,0
Bahamas,2011,0
Bahamas,2012,0
Bahamas,2013,0
Bahamas,2014,0
Bahamas,2015,0
Bahamas,2016,0
Bahamas,2017,0
Bahamas,2018,0
Bahamas,2019,3
Bahamas,2020,0
Bahamas,2021,0
Belize,1974,8
Belize,1975,429
Belize,1976,1341
Belize,1977,19
Belize,1978,216
Belize,1979,255
Belize,1980,607
Belize,1981,186
Belize,1982,6
Belize,1983,11
Belize,1984,4
Belize,1985,7
Belize,1986,124
Belize,1987,224
Belize,1988,74
Belize,1989,2
Belize,1990,25
Belize,1991,7
Belize,1992,11
Belize,1993,0
Belize,1994,0
Belize,1995,4
Belize,1996,0
Belize,1997,0
Belize,1998,0
Belize,1999,0
Belize,2000,0
Belize,2001,0
Belize,2002,0
Belize,2003,0
Belize,2004,0
Belize,2005,0
Belize,2006,0
Belize,2007,0
Belize,2008,0
Belize,2009,0
Belize,2010,0
Belize,2011,0
Belize,2012,0
Belize,2013,0
Belize,2014,0
Belize,2015,0
Belize,2016,0
Belize,2017,0
Belize,2018,0
Belize,2019,0
Belize,2020,0
Belize,2021,0
Bolivia (Plurinational State of),1974,5318
Bolivia (Plurinational State of),1975,2244
Bolivia (Plurinational State of),1976,6427
Bolivia (Plurinational State of),1977,8194
Bolivia (Plurinational State of),1978,3363
Bolivia (Plurinational State of),1979,5802
Bolivia (Plurinational State of),1980,4181
Bolivia (Plurinational State of),1981,7654
Bolivia (Plurinational State of),1982,720
Bolivia (Plurinational State of),1983,2034
Bolivia (Plurinational State of),1984,1270
Bolivia (Plurinational State of),1985,217
Bolivia (Plurinational State of),1986,346
Bolivia (Plurinational State of),1987,987
Bolivia (Plurinational State of),1988,1793
Bolivia (Plurinational State of),1989,669
Bolivia (Plurinational State of),1990,820
Bolivia (Plurinational State of),1991,2108
Bolivia (Plurinational State of),1992,4937
Bolivia (Plurinational State of),1993,3391
Bolivia (Plurinational State of),1994,1441
Bolivia (Plurinational State of),1995,76
Bolivia (Plurinational State of),1996,7
Bolivia (Plurinational State of),1997,7
Bolivia (Plurinational State of),1998,1004
Bolivia (Plurinational State of),1999,1441
Bolivia (Plurinational State of),2000,122
Bolivia (Plurinational State of),2001,0
Bolivia (Plurinational State of),2002,0
Bolivia (Plurinational State of),2003,0
Bolivia (Plurinational State of),2004,0
Bolivia (Plurinational State of),2005,0
Bolivia (Plurinational State of),2006,0
Bolivia (Plurinational State of),2007,0
Bolivia (Plurinational State of),2008,0
Bolivia (Plurinational State of),2009,0
Bolivia (Plurinational State of),2010,0
Bolivia (Plurinational State of),2011,0
Bolivia (Plurinational State of),2012,0
Bolivia (Plurinational State of),2013,0
Bolivia (Plurinational State of),2014,0
Bolivia (Plurinational State of),2015,0
Bolivia (Plurinational State of),2016,0
Bolivia (Plurinational State of),2017,0
Bolivia (Plurinational State of),2018,0
Bolivia (Plurinational State of),2019,0
Bolivia (Plurinational State of),2020,2
Bolivia (Plurinational State of),2021,0
Brazil,1974,20061
Brazil,1975,19764
Brazil,1976,73631
Brazil,1977,54410
Brazil,1978,51345
Brazil,1979,65552
Brazil,1980,99263
Brazil,1981,61281
Brazil,1982,39370
Brazil,1983,58259
Brazil,1984,80875
Brazil,1985,75993
Brazil,1986,129126
Brazil,1987,66059
Brazil,1988,26179
Brazil,1989,22853
Brazil,1990,61435
Brazil,1991,42537
Brazil,1992,7934
Brazil,1993,6037
Brazil,1994,35
Brazil,1995,793
Brazil,1996,580
Brazil,1997,52284
Brazil,1998,2781
Brazil,1999,908
Brazil,2000,36
Brazil,2001,1
Brazil,2002,1
Brazil,2003,2
Brazil,2004,0
Brazil,2005,6
Brazil,2006,57
Brazil,2007,0
Brazil,2008,0
Brazil,2009,0
Brazil,2010,68
Brazil,2011,43
Brazil,2012,2
Brazil,2013,220
Brazil,2014,876
Brazil,2015,214
Brazil,2016,0
Brazil,2017,
Brazil,2018,10330
Brazil,2019,20901
Brazil,2020,8448
Brazil,2021,668
Canada,1974,11985
Canada,1975,13143
Canada,1976,9158
Canada,1977,0
Canada,1978,5858
Canada,1979,22444
Canada,1980,13864
Canada,1981,2307
Canada,1982,1064
Canada,1983,934
Canada,1984,4078
Canada,1985,2816
Canada,1986,14941
Canada,1987,2385
Canada,1988,609
Canada,1989,11145
Canada,1990,1033
Canada,1991,6178
Canada,1992,2742
Canada,1993,203
Canada,1994,523
Canada,1995,2361
Canada,1996,327
Canada,1997,579
Canada,1998,12
Canada,1999,29
Canada,2000,206
Canada,2001,34
Canada,2002,6
