Year,Country Code,Country Name,life_expatancy,life_expatancy_male,life_expatancy_female,ratio_mort_neonatal,ratio_mort_one_year,ratio_mort_five_year,ratio_maternal_mort,ratio_mort_in_year,ratio_poblation_0_14_year,ratio_poblation_15_64_year,ratio_poblation_more_64_year,ratio_population_growth,ratio_mortality_CVD_cancer_diabetes_CRD,ratio_infectious_diseases,porc_prev_malnutrition,doctor_1000_people,bed_1000_people,porc_water_service,porc_sanitation_services,porc_electricity,porc_internet,porc_secundary_school_compl,porc_literacy,porc_unemployment,porc_below_poverty_line,PIB_growth_per_capita
2009,HTI,Haití,61.741,,,,,,,,,,,,,,,,,,,,,,,,,
2004,PAN,Panamá,75.544,,,,,,,,,,,,,,,,,,,,,,,,,
2005,TTO,Trinidad y Tobago,71.308,,,,,,,,,,,,,,,,,,,,,,,,,
1988,FSM,Micronesia (Estados Federados de),66.859,63.669,70.32,,,52.1,,6.035,44.8468992962158,51.9600153706053,3.19308533317893,2.28086040789837,,,,,,,,,,,,,,0.236379022421247
1987,JAM,Jamaica,71.273,70.354,72.141,19.5,19.5,30.6,,7.206,37.2889829619753,55.6335701092993,7.07744692872537,0.875908092582014,,,,,,,,,,,,,,6.90981000851436
2019,VEN,Venezuela,72.161,68.034,76.566,15,15,24.2,177,7.017,28.6041592991999,63.7732805551324,7.62256014566775,-2.90499574537726,14.8,15.5617500592489,24.9,,,,95.5779092,99.9768142700195,,,,5.092,,
1991,KIR,Kiribati,61.422,59.743,63.049,33.8,33.8,88,,8.912,40.835639325432,55.8587427557041,3.30561791886389,1.96136408217237,,,,0.176,0.176,0.176,,,0,50.7092208862305,,,,-1.94225447710541
1990,DMA,Dominica,69.852,67.265,72.51,10.1,10.1,16.4,,9.915,33.1325604657355,57.8520901247095,9.01534940955506,-0.708470150121304,,,,0.46,0.46,0.46,,,0,,,,,6.16749039391011
1995,BLZ,Belice,69.887,67.978,71.981,14.5,14.5,28.9,,5.448,42.6960082335862,53.4242335666019,3.87975819981185,2.55753145411695,,,,0.6,0.6,0.6,,74.915397644043,0.04539718,49.2241706848145,,12.48,,-1.90118753070652
2019,SUR,Suriname,72.242,68.944,75.68,11.3,11.3,18.3,100,7.06,27.1109219465917,65.9577994687661,6.93127858464219,1.10317898471941,22.7,11.8146625910832,8,,,,89.24914322,97.8254165649414,56.80248377,47.4272308349609,,8.029,,0.05885853008634
2005,MHL,Islas Marshall,63.585,,,,,,,,,,,,,,,,,,,,,,,,,
2013,VUT,Vanuatu,69.534,67.49,72.055,12.1,12.1,28.3,87,6.041,39.2542124625522,56.9885801994813,3.75720733796652,2.38891492248033,40.4,,8.1,,,,53.87497942,31.7000007629395,11.3,53.2610702514648,,1.859,,-1.90815462942294
2017,GRD,Granada,74.765,72.005,77.772,10.5,10.5,16.4,24,7.9,24.0327322497013,66.6297277963621,9.33753995393668,0.792907050535382,24,,,1.4067,1.4067,1.4067,91.49389213,92.1939544677734,54.2,104.774543762207,,,,3.61428568221318
1985,CHL,Chile,71.176,67.998,74.453,9.6,9.6,22.4,,5.732,31.2664030616249,63.5978863407393,5.13571059763578,1.45983532243265,,,,,,,,,,,,,,2.50257184895179
2005,VCT,San Vicente y las Granadinas,73.516,,,,,,,,,,,,,,,,,,,,,,,,,
1989,TUV,Tuvalu,61.531,58.508,64.361,28.4,28.4,53.3,,10.467,36.1559363389342,58.4539455442799,5.39011811678589,1.93724215225699,,,,,,,,,,,,,,
2018,BHS,Bahamas,73.806,70.225,77.32,7.3,7.3,13.5,77,6.935,21.3702689555904,70.9548116290729,7.67491941533665,0.720668948364001,19.8,,,,,,94.93058233,100,83,,,10,,1.09978136712807
2013,HND,Honduras,71.963,69.613,74.497,12.7,12.7,22.1,65,4.198,35.6429500649339,61.0427896079495,3.31426032711664,1.89595914681821,20.9,,14.2,,,,77.02496233,87.1848831176758,17.8,36.8233909606934,85.4644165039063,5.65,,0.861032610676844
2012,DMA,Dominica,70.538,68.214,73.215,21.6,21.6,27.2,,12.186,22.7040797810955,66.4806172292908,10.8153029896137,0.212163125432016,,,5.4,,,,79.11074396,96.91748046875,49.8,82.3487014770508,,,,-1.26869403565924
1989,CRI,Costa Rica,76.263,74.129,78.537,9.3,9.3,17.8,,3.826,35.7322878427126,59.5005490417184,4.76716311556898,2.55060236009875,,,,,,,,,,26.3158798217773,,,28.3,3.00493719762211
2010,JAM,Jamaica,72.622,70.579,74.667,14.6,14.6,17.3,88,6.019,26.6078153667879,67.5785947965833,5.81358983662875,0.421348654823536,16.1,10.7881038281825,9.7,,,,84.7049499,92.1999969482422,27.67,,,7.63,17.6,-1.87148268267046
2013,SLV,El Salvador,71.771,67.146,76.158,8.2,8.2,16.7,39,7.149,29.68972099503,63.156713308278,7.15356569669198,0.394479107083525,10.9,,10.7,,,,83.24572399,95.0431060791016,23.1093,80.7002563476563,86.767578125,3.69,,1.83312065536228
2004,TON,Tonga,69.67,,,,,,,,,,,,,,,,,,,,,,,,,
